id,title,overview,popularity,release_date,vote_average,vote_count,genre_ids,genres,actors,director
912649,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",3046.021,2024-10-22,6.489,808,"[878, 28, 12]","['Science Fiction', 'Action', 'Adventure']","['Tom Hardy', 'Chiwetel Ejiofor', 'Juno Temple', 'Clark Backo', 'Rhys Ifans', 'Stephen Graham', 'Peggy Lu', 'Alanna Ubach', 'Hala Finley', 'Dash McCloud']",Kelly Marcel
1034541,Terrifier 3,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",1866.107,2024-10-09,6.922,1055,"[27, 53, 9648]","['Horror', 'Thriller', 'Mystery']","['Lauren LaVera', 'David Howard Thornton', 'Samantha Scaffidi', 'Elliott Fullam', 'Margaret Anne Florence', 'Bryce Johnson', 'Alexa Blair Robertson', 'Antonella Rose', 'Mason Mecartea', 'Krsy Fox']",Damien Leone
1184918,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",1818.285,2024-09-12,8.474,2975,"[16, 878, 10751]","['Animation', 'Science Fiction', 'Family']","[""Lupita Nyong'o"", 'Pedro Pascal', 'Kit Connor', 'Bill Nighy', 'Stephanie Hsu', 'Matt Berry', 'Ving Rhames', 'Mark Hamill', ""Catherine O'Hara"", 'Boone Storm']",Chris Sanders
558449,Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",1760.337,2024-11-13,6.796,524,"[28, 12, 18]","['Action', 'Adventure', 'Drama']","['Paul Mescal', 'Denzel Washington', 'Pedro Pascal', 'Connie Nielsen', 'Joseph Quinn', 'Fred Hechinger', 'Lior Raz', 'Derek Jacobi', 'Peter Mensah', 'Matt Lucas']",Ridley Scott
1118031,Apocalypse Z: The Beginning of the End,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",1556.7,2024-10-04,6.764,519,"[18, 28, 27]","['Drama', 'Action', 'Horror']","['Francisco Ortiz', 'José María Yázpik', 'Berta Vázquez', 'Iria del Río', 'Marta Poveda', 'Amalia Gómez', 'María Salgueiro', 'Yuri Mykhaylychenko', 'Ian Monclús', 'Yaiza Macías']",Carles Torrens
791042,Levels,"After witnessing his girlfriend's murder, a man risks everything - including reality itself - to discover the truth.",1396.459,2024-11-01,5.6,18,"[28, 878, 53]","['Action', 'Science Fiction', 'Thriller']","['Cara Gee', 'Peter Mooney', 'Aaron Abrams', 'David Hewlett', 'Amanda Tapping', 'Adam Hurtig', 'Sydney Sabiston', 'Jade Ma', 'BJ Verot', 'Kristian Jordan']",Adam Stern
533535,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",1195.723,2024-07-24,7.7,5516,"[28, 35, 878]","['Action', 'Comedy', 'Science Fiction']","['Ryan Reynolds', 'Hugh Jackman', 'Emma Corrin', 'Matthew Macfadyen', 'Dafne Keen', 'Jon Favreau', 'Morena Baccarin', 'Rob Delaney', 'Leslie Uggams', 'Jennifer Garner']",Shawn Levy
1100782,Smile 2,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",1191.008,2024-10-16,6.911,496,"[27, 9648]","['Horror', 'Mystery']","['Naomi Scott', 'Rosemarie DeWitt', 'Lukas Gage', 'Miles Gutierrez-Riley', 'Peter Jacobson', 'Ray Nicholson', 'Dylan Gelula', 'Raúl Castillo', 'Kyle Gallner', 'Drew Barrymore']",Parker Finn
933260,The Substance,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",1124.624,2024-09-07,7.285,2113,"[18, 27, 878]","['Drama', 'Horror', 'Science Fiction']","['Demi Moore', 'Margaret Qualley', 'Dennis Quaid', 'Edward Hamilton-Clark', 'Gore Abrams', 'Oscar Lesage', 'Christian Erickson', 'Robin Greer', 'Tom Morton', 'Hugo Diego Garcia']",Coralie Fargeat
698687,Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",1110.853,2024-09-11,8.1,737,"[16, 878, 12, 10751]","['Animation', 'Science Fiction', 'Adventure', 'Family']","['Chris Hemsworth', 'Brian Tyree Henry', 'Scarlett Johansson', 'Keegan-Michael Key', 'Jon Hamm', 'Steve Buscemi', 'Laurence Fishburne', 'Vanessa Liguori', 'Jon Bailey', 'Jason Konopisos-Alvarez']",Josh Cooley
