,id,title,overview,popularity,release_date,vote_average,vote_count,genre_ids,genres,actors,director,log_popularity,popularity_bin,degree
0,912649,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",3197.278,2024-10-22,6.5,763,"[878, 28, 12]","['Science Fiction', 'Action', 'Adventure']","['Tom Hardy', 'Chiwetel Ejiofor', 'Juno Temple', 'Clark Backo', 'Rhys Ifans']",Kelly Marcel,8.070367818946595,Top,11
1,1034541,Terrifier 3,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",2204.248,2024-10-09,6.9,1015,"[27, 53, 9648]","['Horror', 'Thriller', 'Mystery']","['Lauren LaVera', 'David Howard Thornton', 'Samantha Scaffidi', 'Elliott Fullam', 'Margaret Anne Florence']",Damien Leone,7.6985952532118125,Top,11
2,1184918,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",1868.856,2024-09-12,8.5,2908,"[16, 878, 10751]","['Animation', 'Science Fiction', 'Family']","[""Lupita Nyong'o"", 'Pedro Pascal', 'Kit Connor', 'Bill Nighy', 'Stephanie Hsu']",Chris Sanders,7.5336167015359745,Top,11
3,1118031,Apocalypse Z: The Beginning of the End,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",1861.349,2024-10-04,6.8,486,"[18, 28, 27]","['Drama', 'Action', 'Horror']","['Francisco Ortiz', 'José María Yázpik', 'Berta Vázquez', 'Iria del Río', 'Marta Poveda']",Carles Torrens,7.529593873141551,Top,11
4,558449,Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",1978.412,2024-11-13,6.8,409,"[28, 12, 18]","['Action', 'Adventure', 'Drama']","['Paul Mescal', 'Denzel Washington', 'Pedro Pascal', 'Connie Nielsen', 'Joseph Quinn']",Ridley Scott,7.590555109887379,Top,11
5,533535,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",1490.952,2024-07-24,7.692,5471,"[28, 35, 878]","['Action', 'Comedy', 'Science Fiction']","['Ryan Reynolds', 'Hugh Jackman', 'Emma Corrin', 'Matthew Macfadyen', 'Dafne Keen']",Shawn Levy,7.30784060866442,Top,11
6,933260,The Substance,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",1356.547,2024-09-07,7.282,2062,"[18, 27, 878]","['Drama', 'Horror', 'Science Fiction']","['Demi Moore', 'Margaret Qualley', 'Dennis Quaid', 'Edward Hamilton-Clark', 'Gore Abrams']",Coralie Fargeat,7.2134346736765185,Top,11
7,1124641,Classified,"Operating alone in the field for more than 20 years, a CIA hitman uses the ""Help Wanted"" section of the newspapers to get his orders from the Agency. His long-lost daughter, now a UK MI6 analyst, tracks him down to deliver shocking news: his CIA boss has been dead for years and the division long since shut down. Together, they set out to discover whose orders he's been executing.",1241.638,2024-09-19,5.65,50,"[28, 53]","['Action', 'Thriller']","['Aaron Eckhart', 'Tim Roth', 'Abigail Breslin', 'Matt Hookings', 'Lucky Ali']",Roel Reiné,7.124991818201758,Top,10
8,698687,Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",1200.39,2024-09-11,8.094,721,"[16, 878, 12, 10751]","['Animation', 'Science Fiction', 'Adventure', 'Family']","['Chris Hemsworth', 'Brian Tyree Henry', 'Scarlett Johansson', 'Keegan-Michael Key', 'Jon Hamm']",Josh Cooley,7.091234498758979,Top,12
9,845781,Red One,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous bounty hunter in a globe-trotting, action-packed mission to save Christmas.",1080.128,2024-10-31,6.7,128,"[28, 35, 14]","['Action', 'Comedy', 'Fantasy']","['Dwayne Johnson', 'Chris Evans', 'J.K. Simmons', 'Lucy Liu', 'Kiernan Shipka']",Jake Kasdan,6.985760219510096,Top,11
